GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finance-tracker,com.example,FinanceTracker.DataWrapper,0,12,0,0,0,5,0,1,0,1
finance-tracker,com.example,MainApp,436,0,4,0,70,0,15,0,13,0
finance-tracker,com.example,Category,0,23,0,0,0,8,0,5,0,5
finance-tracker,com.example,Transaction,0,53,0,0,0,17,0,11,0,11
finance-tracker,com.example,FinanceTracker.LocalDateAdapter,2,18,2,2,0,4,2,2,0,2
finance-tracker,com.example,FinanceTracker,70,459,21,45,15,94,19,32,1,17
finance-tracker,com.example,SpendingLimit,4,29,0,0,1,10,1,6,1,6
finance-tracker,com.example,CategoryType,0,15,0,0,0,3,0,1,0,1
finance-tracker,com.example,FinanceSummary,0,43,0,0,0,14,0,9,0,9
finance-tracker,com.example,TransactionType,0,15,0,0,0,3,0,1,0,1
